rank,icao,mtow_lb,gear,annual_departures,growth_rate,cdf_contribution,source
1,R135,321874,2D,1.00,-0.0220,9.616000e-01,batch_FEM
2,GALX,33289,D,20.43,-0.0220,2.200463e-05,batch_FEM
3,CL35,40600,D,1.00,-0.0220,2.129572e-06,batch_FEM
4,CL30,37478,D,1.00,-0.0220,1.577103e-06,batch_FEM
5,F2TH,34833,D,1.00,-0.0220,6.085764e-07,batch_FEM
6,C550,14800,S,14.40,-0.0220,7.012080e-10,LEAF_only_supplement
7,B350,16500,D,2.00,-0.0220,5.584535e-10,LEAF_only_supplement
8,BE20,12500,D,2.25,-0.0220,4.838380e-10,LEAF_only_supplement
9,B190,17120,D,1.00,-0.0220,2.792267e-10,LEAF_only_supplement
10,BE30,14000,D,1.00,-0.0220,2.792267e-10,LEAF_only_supplement
