element_id,layer,cx_in,cy_in,cz_in,po_sx,po_sy,po_sz,po_sxy,po_syz,po_szx,ae_sx,ae_sy,ae_sz,ae_sxy,ae_syz,ae_sxz,max_abs_diff_psi,rel_to_peak_pct
2926,4,113.4000,36.0000,-36.5000,0.011400,0.010140,-0.074380,0.000311,0.009088,-0.000032,0.011399,0.010139,-0.074376,0.000311,0.009088,-0.000032,3.704973e-06,0.000109
2927,4,121.8000,36.0000,-36.5000,0.010850,0.009942,-0.074430,-0.000059,0.009097,0.002209,0.010848,0.009942,-0.074426,-0.000059,0.009097,0.002209,4.340758e-06,0.000127
2928,4,130.2000,36.0000,-36.5000,0.010330,0.009744,-0.074210,-0.000430,0.009082,0.004365,0.010331,0.009744,-0.074210,-0.000430,0.009082,0.004365,1.350470e-06,0.000040
2929,4,138.6000,36.0000,-36.5000,0.009849,0.009539,-0.073750,-0.000801,0.009039,0.006413,0.009849,0.009539,-0.073747,-0.000801,0.009039,0.006413,3.440265e-06,0.000101
2930,4,147.0000,36.0000,-36.5000,0.009444,0.009346,-0.073030,-0.001174,0.008949,0.008320,0.009444,0.009346,-0.073034,-0.001174,0.008949,0.008320,4.299485e-06,0.000126
2931,4,155.4000,36.0000,-36.5000,0.009171,0.009192,-0.072070,-0.001542,0.008799,0.010080,0.009171,0.009192,-0.072065,-0.001542,0.008799,0.010076,4.581394e-06,0.000134
2932,4,163.8000,36.0000,-36.5000,0.009081,0.009103,-0.070830,-0.001882,0.008613,0.011730,0.009081,0.009103,-0.070832,-0.001882,0.008613,0.011728,2.281995e-06,0.000067
2933,4,4.2000,44.0000,-36.5000,0.023260,0.019230,-0.034660,0.006404,0.007913,-0.057980,0.023257,0.019226,-0.034658,0.006404,0.007913,-0.057976,4.175983e-06,0.000122
2934,4,12.6000,44.0000,-36.5000,0.030540,0.022260,-0.038180,0.005900,0.008723,-0.044210,0.030544,0.022256,-0.038182,0.005900,0.008723,-0.044214,3.820916e-06,0.000112
2935,4,21.0000,44.0000,-36.5000,0.029170,0.020470,-0.044820,0.005373,0.009231,-0.033170,0.029170,0.020469,-0.044819,0.005373,0.009231,-0.033172,2.192171e-06,0.000064
2936,4,29.4000,44.0000,-36.5000,0.025000,0.017440,-0.051510,0.004870,0.009544,-0.026500,0.025002,0.017438,-0.051508,0.004870,0.009544,-0.026496,4.452734e-06,0.000130
2937,4,37.8000,44.0000,-36.5000,0.021590,0.015200,-0.056700,0.004395,0.009765,-0.022400,0.021594,0.015205,-0.056700,0.004395,0.009765,-0.022401,4.617721e-06,0.000135
2938,4,46.2000,44.0000,-36.5000,0.018950,0.013600,-0.060810,0.003940,0.009948,-0.019340,0.018955,0.013604,-0.060814,0.003940,0.009948,-0.019338,4.810569e-06,0.000141
2939,4,54.6000,44.0000,-36.5000,0.017070,0.012550,-0.064030,0.003497,0.010110,-0.016730,0.017070,0.012555,-0.064033,0.003497,0.010114,-0.016733,4.539611e-06,0.000133
2940,4,63.0000,44.0000,-36.5000,0.015710,0.011870,-0.066580,0.003057,0.010270,-0.014280,0.015711,0.011872,-0.066584,0.003057,0.010266,-0.014277,3.925386e-06,0.000115
2941,4,71.4000,44.0000,-36.5000,0.014690,0.011420,-0.068610,0.002618,0.010410,-0.011860,0.014691,0.011420,-0.068611,0.002618,0.010406,-0.011855,4.580895e-06,0.000134
2942,4,79.8000,44.0000,-36.5000,0.013870,0.011100,-0.070210,0.002176,0.010530,-0.009436,0.013870,0.011100,-0.070214,0.002176,0.010531,-0.009436,4.463016e-06,0.000131
2943,4,88.2000,44.0000,-36.5000,0.013160,0.010850,-0.071460,0.001729,0.010640,-0.007026,0.013157,0.010847,-0.071457,0.001729,0.010636,-0.007026,3.512826e-06,0.000103
2944,4,96.6000,44.0000,-36.5000,0.012510,0.010630,-0.072370,0.001280,0.010720,-0.004641,0.012508,0.010629,-0.072373,0.001280,0.010720,-0.004641,2.600108e-06,0.000076
2945,4,105.0000,44.0000,-36.5000,0.011900,0.010430,-0.072980,0.000829,0.010780,-0.002298,0.011899,0.010427,-0.072983,0.000829,0.010781,-0.002298,3.482964e-06,0.000102
2946,4,113.4000,44.0000,-36.5000,0.011320,0.010230,-0.073310,0.000377,0.010820,-0.000012,0.011319,0.010228,-0.073308,0.000377,0.010817,-0.000012,3.261307e-06,0.000096
2947,4,121.8000,44.0000,-36.5000,0.010770,0.010030,-0.073360,-0.000074,0.010830,0.002205,0.010766,0.010028,-0.073359,-0.000074,0.010827,0.002205,3.969325e-06,0.000116
2948,4,130.2000,44.0000,-36.5000,0.010250,0.009828,-0.073150,-0.000523,0.010810,0.004338,0.010247,0.009828,-0.073145,-0.000523,0.010811,0.004338,4.618415e-06,0.000135
2949,4,138.6000,44.0000,-36.5000,0.009748,0.009614,-0.072700,-0.000973,0.010760,0.006353,0.009748,0.009614,-0.072697,-0.000973,0.010763,0.006353,3.331321e-06,0.000098
2950,4,147.0000,44.0000,-36.5000,0.009348,0.009433,-0.071990,-0.001422,0.010670,0.008203,0.009348,0.009433,-0.071988,-0.001422,0.010667,0.008203,2.747422e-06,0.000080
2951,4,155.4000,44.0000,-36.5000,0.009138,0.009343,-0.070990,-0.001863,0.010510,0.009901,0.009138,0.009343,-0.070987,-0.001863,0.010513,0.009901,3.033628e-06,0.000089
2952,4,163.8000,44.0000,-36.5000,0.009162,0.009364,-0.069690,-0.002279,0.010320,0.011540,0.009162,0.009364,-0.069687,-0.002279,0.010321,0.011542,3.124465e-06,0.000092
2953,2,4.2000,54.0000,-2.0000,-0.819900,-0.856600,-1.667000,0.037580,0.011200,0.147300,-0.819938,-0.856572,-1.667014,0.037575,0.011198,0.147293,3.789384e-05,0.001110
2954,2,12.6000,54.0000,-2.0000,-0.566200,-0.498600,-1.044000,0.036620,0.005262,0.021410,-0.566193,-0.498641,-1.043576,0.036621,0.005262,0.021410,4.238661e-04,0.012419
2955,2,21.0000,54.0000,-2.0000,-0.520300,-0.473200,-1.045000,0.035950,0.004574,0.005667,-0.520318,-0.473241,-1.044985,0.035953,0.004574,0.005667,4.145335e-05,0.001215
2956,2,29.4000,54.0000,-2.0000,-0.490500,-0.441500,-1.014000,0.034650,0.004181,0.008551,-0.490499,-0.441493,-1.014220,0.034654,0.004181,0.008551,2.199820e-04,0.006445
2957,2,37.8000,54.0000,-2.0000,-0.470300,-0.432700,-1.030000,0.032940,0.003874,0.004348,-0.470303,-0.432700,-1.030411,0.032944,0.003874,0.004348,4.112619e-04,0.012050
2958,2,46.2000,54.0000,-2.0000,-0.457500,-0.432400,-1.059000,0.030660,0.003728,0.003436,-0.457525,-0.432444,-1.059492,0.030657,0.003728,0.003436,4.923742e-04,0.014426
2959,2,54.6000,54.0000,-2.0000,-0.451500,-0.437400,-1.093000,0.027860,0.003668,0.001546,-0.451519,-0.437372,-1.093408,0.027858,0.003668,0.001546,4.077134e-04,0.011946
2960,2,63.0000,54.0000,-2.0000,-0.450800,-0.444000,-1.125000,0.024700,0.003666,0.000607,-0.450812,-0.443995,-1.124703,0.024699,0.003666,0.000607,2.965290e-04,0.008688
2961,2,71.4000,54.0000,-2.0000,-0.452800,-0.450300,-1.151000,0.021320,0.003689,0.000079,-0.452796,-0.450295,-1.150814,0.021320,0.003689,0.000079,1.857635e-04,0.005443
2962,2,79.8000,54.0000,-2.0000,-0.455700,-0.455400,-1.171000,0.017790,0.003732,-0.000081,-0.455705,-0.455361,-1.171089,0.017787,0.003732,-0.000081,8.938842e-05,0.002619
2963,2,88.2000,54.0000,-2.0000,-0.458400,-0.458800,-1.186000,0.014170,0.003785,-0.000032,-0.458412,-0.458822,-1.185675,0.014172,0.003785,-0.000032,3.246292e-04,0.009512
2964,2,96.6000,54.0000,-2.0000,-0.460100,-0.460600,-1.195000,0.010520,0.003825,0.000142,-0.460126,-0.460571,-1.195025,0.010520,0.003825,0.000142,2.902318e-05,0.000850
2965,2,105.0000,54.0000,-2.0000,-0.460400,-0.460600,-1.200000,0.006845,0.003849,0.000378,-0.460402,-0.460629,-1.199590,0.006845,0.003849,0.000378,4.096062e-04,0.012001
2966,2,113.4000,54.0000,-2.0000,-0.459100,-0.459100,-1.200000,0.003168,0.003865,0.000682,-0.459072,-0.459072,-1.199786,0.003168,0.003865,0.000682,2.142065e-04,0.006276
2967,2,121.8000,54.0000,-2.0000,-0.455900,-0.455900,-1.196000,-0.000486,0.003875,0.000954,-0.455935,-0.455883,-1.195725,-0.000486,0.003875,0.000954,2.753113e-04,0.008067
2968,2,130.2000,54.0000,-2.0000,-0.450900,-0.451200,-1.188000,-0.004118,0.003873,0.001422,-0.450895,-0.451154,-1.187700,-0.004118,0.003873,0.001422,2.999233e-04,0.008788
2969,2,138.6000,54.0000,-2.0000,-0.443700,-0.444100,-1.174000,-0.007692,0.003885,0.001605,-0.443659,-0.444094,-1.174155,-0.007692,0.003885,0.001605,1.547691e-04,0.004535
2970,2,147.0000,54.0000,-2.0000,-0.435600,-0.438200,-1.162000,-0.011350,0.003927,0.001738,-0.435573,-0.438231,-1.162321,-0.011349,0.003927,0.001738,3.210952e-04,0.009408
2971,2,155.4000,54.0000,-2.0000,-0.414400,-0.414200,-1.117000,-0.014690,0.002623,0.009293,-0.414436,-0.414194,-1.116530,-0.014690,0.002623,0.009293,4.700985e-04,0.013774
2972,2,163.8000,54.0000,-2.0000,-0.433400,-0.435300,-1.148000,-0.017720,0.012910,-0.021280,-0.433363,-0.435334,-1.147891,-0.017720,0.012906,-0.021279,1.088826e-04,0.003190
2973,2,4.2000,66.0000,-2.0000,-0.769100,-0.810000,-1.565000,0.044900,0.004364,0.134100,-0.769132,-0.809953,-1.564784,0.044901,0.004364,0.134051,2.157814e-04,0.006322
2974,2,12.6000,66.0000,-2.0000,-0.539000,-0.481300,-0.991500,0.043930,0.002100,0.020920,-0.538967,-0.481267,-0.991452,0.043935,0.002100,0.020923,4.829302e-05,0.001415
2975,2,21.0000,66.0000,-2.0000,-0.494900,-0.456100,-0.989500,0.043070,0.000868,0.004922,-0.494916,-0.456108,-0.989472,0.043068,0.000868,0.004922,2.775217e-05,0.000813
2976,2,29.4000,66.0000,-2.0000,-0.467800,-0.427700,-0.962000,0.041550,0.000362,0.007821,-0.467845,-0.427718,-0.962046,0.041547,0.000362,0.007821,4.610405e-05,0.001351
2977,2,37.8000,66.0000,-2.0000,-0.449200,-0.420200,-0.978000,0.039480,-0.000120,0.003974,-0.449241,-0.420195,-0.977965,0.039477,-0.000120,0.003974,4.085582e-05,0.001197
2978,2,46.2000,66.0000,-2.0000,-0.437400,-0.420600,-1.006000,0.036710,-0.000458,0.003153,-0.437384,-0.420618,-1.006051,0.036707,-0.000459,0.003153,5.125805e-05,0.001502
2979,2,54.6000,66.0000,-2.0000,-0.431800,-0.425800,-1.039000,0.033360,-0.000693,0.001408,-0.431790,-0.425810,-1.038623,0.033358,-0.000694,0.001408,3.766091e-04,0.011035
2980,2,63.0000,66.0000,-2.0000,-0.431100,-0.432400,-1.069000,0.029590,-0.000842,0.000540,-0.431096,-0.432440,-1.068598,0.029591,-0.000842,0.000540,4.016475e-04,0.011768
2981,2,71.4000,66.0000,-2.0000,-0.432900,-0.438700,-1.094000,0.025540,-0.000942,0.000063,-0.432890,-0.438656,-1.093538,0.025543,-0.000942,0.000063,4.621641e-04,0.013541
2982,2,79.8000,66.0000,-2.0000,-0.435500,-0.443600,-1.113000,0.021320,-0.000995,-0.000069,-0.435545,-0.443603,-1.112852,0.021323,-0.000995,-0.000069,1.482142e-04,0.004343
2983,2,88.2000,66.0000,-2.0000,-0.438000,-0.446900,-1.127000,0.017000,-0.001011,-0.000008,-0.437983,-0.446937,-1.126700,0.017001,-0.001011,-0.000008,3.004102e-04,0.008802
2984,2,96.6000,66.0000,-2.0000,-0.439400,-0.448600,-1.136000,0.012620,-0.001021,0.000169,-0.439449,-0.448570,-1.135524,0.012623,-0.001021,0.000169,4.762810e-04,0.013955
2985,2,105.0000,66.0000,-2.0000,-0.439500,-0.448500,-1.140000,0.008221,-0.001023,0.000408,-0.439541,-0.448519,-1.139758,0.008221,-0.001023,0.000408,2.416161e-04,0.007079
2986,2,113.4000,66.0000,-2.0000,-0.438100,-0.446900,-1.140000,0.003823,-0.001012,0.000694,-0.438095,-0.446887,-1.139782,0.003823,-0.001012,0.000694,2.178187e-04,0.006382
2987,2,121.8000,66.0000,-2.0000,-0.434900,-0.443600,-1.136000,-0.000570,-0.000993,0.000973,-0.434873,-0.443627,-1.135707,-0.000570,-0.000993,0.000973,2.926381e-04,0.008574
2988,2,130.2000,66.0000,-2.0000,-0.429800,-0.438800,-1.128000,-0.004943,-0.000977,0.001395,-0.429828,-0.438803,-1.127744,-0.004943,-0.000977,0.001395,2.563116e-04,0.007510
2989,2,138.6000,66.0000,-2.0000,-0.422800,-0.432000,-1.115000,-0.009259,-0.000912,0.001645,-0.422791,-0.432049,-1.115060,-0.009259,-0.000912,0.001645,6.012548e-05,0.001762
2990,2,147.0000,66.0000,-2.0000,-0.413700,-0.424300,-1.100000,-0.013650,-0.000980,0.002167,-0.413700,-0.424266,-1.100444,-0.013648,-0.000980,0.002167,4.438882e-04,0.013006
2991,2,155.4000,66.0000,-2.0000,-0.398800,-0.408100,-1.069000,-0.017860,-0.001089,0.005292,-0.398793,-0.408051,-1.068807,-0.017857,-0.001089,0.005292,1.932154e-04,0.005661
2992,2,163.8000,66.0000,-2.0000,-0.393000,-0.405600,-1.057000,-0.021290,-0.002920,-0.005779,-0.392998,-0.405618,-1.056661,-0.021292,-0.002920,-0.005779,3.392139e-04,0.009939
