
 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   100   1.97850E-04 -6.99876E-05 -5.77419E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   101  -2.27679E-04  7.99047E-05 -5.72273E-03 
   102   1.97765E-04 -7.60217E-05 -5.72320E-03 
   103  -2.27498E-04  8.58387E-05 -5.66898E-03 
   104   1.97717E-04 -8.17227E-05 -5.66854E-03 
   105  -2.25646E-04  0.00000E+00 -6.16774E-03 
   106   1.95564E-04  0.00000E+00 -6.17246E-03 
   107  -2.25628E-04  7.76358E-06 -6.16704E-03 
   108   1.95551E-04 -7.38271E-06 -6.16862E-03 
   109  -2.25570E-04  1.55041E-05 -6.15775E-03 
   110   1.95513E-04 -1.47629E-05 -6.16220E-03 
   111  -2.25476E-04  2.31949E-05 -6.14649E-03 
   112   1.95448E-04 -2.20659E-05 -6.14858E-03 
   113  -2.25344E-04  3.08191E-05 -6.12765E-03 
   114   1.95359E-04 -2.93245E-05 -6.13175E-03 
   115  -2.25181E-04  3.83625E-05 -6.10626E-03 
   116   1.95249E-04 -3.65073E-05 -6.10833E-03 
   117  -2.24987E-04  4.57952E-05 -6.07755E-03 
   118   1.95122E-04 -4.35863E-05 -6.08163E-03 
   119  -2.24771E-04  5.30854E-05 -6.04644E-03 
   120   1.94981E-04 -5.05318E-05 -6.04848E-03 
   121  -2.24534E-04  6.01977E-05 -6.00819E-03 
   122   1.94833E-04 -5.73131E-05 -6.01221E-03 
   123  -2.24286E-04  6.70897E-05 -5.96771E-03 
   124   1.94682E-04 -6.38880E-05 -5.96974E-03 
   125  -2.24031E-04  7.37173E-05 -5.92029E-03 
   126   1.94535E-04 -7.02080E-05 -5.92451E-03 
   127  -2.23779E-04  8.00401E-05 -5.87116E-03 
   128   1.94399E-04 -7.62646E-05 -5.87334E-03 
   129  -2.23535E-04  8.59561E-05 -5.81477E-03 
   130   1.94278E-04 -8.19518E-05 -5.82004E-03 
   131  -2.20664E-04  0.00000E+00 -6.31631E-03 
   132   1.91205E-04  0.00000E+00 -6.31892E-03 
   133  -2.20643E-04  7.79581E-06 -6.31466E-03 
   134   1.91188E-04 -7.41842E-06 -6.31549E-03 
   135  -2.20582E-04  1.55688E-05 -6.30637E-03 
   136   1.91146E-04 -1.48383E-05 -6.30854E-03 
   137  -2.20480E-04  2.32903E-05 -6.29403E-03 
   138   1.91072E-04 -2.21804E-05 -6.29533E-03 
   139  -2.20340E-04  3.09431E-05 -6.27605E-03 
   140   1.90975E-04 -2.94723E-05 -6.27800E-03 
   141  -2.20164E-04  3.85124E-05 -6.25359E-03 
   142   1.90850E-04 -3.66862E-05 -6.25491E-03 
   143  -2.19955E-04  4.59667E-05 -6.22571E-03 
   144   1.90707E-04 -4.37914E-05 -6.22766E-03 
   145  -2.19718E-04  5.32745E-05 -6.19349E-03 
   146   1.90543E-04 -5.07594E-05 -6.19480E-03 
   147  -2.19457E-04  6.03992E-05 -6.15603E-03 
   148   1.90368E-04 -5.75567E-05 -6.15795E-03 
   149  -2.19177E-04  6.72972E-05 -6.11447E-03 
   150   1.90182E-04 -6.41408E-05 -6.11572E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   151  -2.18884E-04  7.39287E-05 -6.06791E-03 
   152   1.89995E-04 -7.04638E-05 -6.06983E-03 
   153  -2.18585E-04  8.02417E-05 -6.01793E-03 
   154   1.89806E-04 -7.64852E-05 -6.01860E-03 
   155  -2.18286E-04  8.61513E-05 -5.96390E-03 
   156   1.89628E-04 -8.21690E-05 -5.96364E-03 
   157  -2.14490E-04  0.00000E+00 -6.45870E-03 
   158   1.85697E-04  0.00000E+00 -6.46314E-03 
   159  -2.14468E-04  7.83278E-06 -6.45784E-03 
   160   1.85681E-04 -7.46268E-06 -6.45937E-03 
   161  -2.14402E-04  1.56402E-05 -6.44857E-03 
   162   1.85633E-04 -1.49190E-05 -6.45280E-03 
   163  -2.14294E-04  2.33962E-05 -6.43710E-03 
   164   1.85554E-04 -2.22981E-05 -6.43911E-03 
   165  -2.14145E-04  3.10821E-05 -6.41815E-03 
   166   1.85445E-04 -2.96282E-05 -6.42206E-03 
   167  -2.13959E-04  3.86810E-05 -6.39647E-03 
   168   1.85310E-04 -3.68757E-05 -6.39847E-03 
   169  -2.13736E-04  4.61616E-05 -6.36757E-03 
   170   1.85150E-04 -4.40111E-05 -6.37146E-03 
   171  -2.13481E-04  5.34914E-05 -6.33609E-03 
   172   1.84967E-04 -5.10048E-05 -6.33806E-03 
   173  -2.13198E-04  6.06339E-05 -6.29758E-03 
   174   1.84767E-04 -5.78240E-05 -6.30141E-03 
   175  -2.12891E-04  6.75448E-05 -6.25668E-03 
   176   1.84553E-04 -6.44257E-05 -6.25865E-03 
   177  -2.12566E-04  7.41805E-05 -6.20898E-03 
   178   1.84328E-04 -7.07612E-05 -6.21301E-03 
   179  -2.12227E-04  8.05012E-05 -6.15940E-03 
   180   1.84097E-04 -7.68216E-05 -6.16152E-03 
   181  -2.11881E-04  8.64072E-05 -6.10271E-03 
   182   1.83867E-04 -8.25019E-05 -6.10782E-03 
   183  -2.07248E-04  0.00000E+00 -6.59863E-03 
