
 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 d i s c r e t e  e l e m e n t  d a t a  f o r  t i m e   s t e p     1 ( time = 1.0000E+00 )
                matl               length
      element  number     original        current           force
         97       5      1.60000E-02     1.71209E-02     -1.90607E+02
         98       5      1.60000E-02     1.71219E-02      1.81880E+02
         99       5      1.60000E-02     1.71050E-02     -1.95424E+02
        100       5      1.60000E-02     1.71104E-02      1.78252E+02
        101       5      1.60000E-02     1.70926E-02     -1.89965E+02
        102       5      1.60000E-02     1.70936E-02      1.80997E+02
        103       5      1.60000E-02     1.70735E-02     -1.94916E+02
        104       5      1.60000E-02     1.70792E-02      1.76832E+02
        105       5      1.60000E-02     1.70590E-02     -1.86220E+02
        106       5      1.60000E-02     1.70592E-02      1.81345E+02
        107       6      1.60000E-02     1.70374E-02     -3.86659E+02
        108       6      1.60000E-02     1.70415E-02      3.57411E+02
        109       7      1.60000E-02     1.69906E-02     -5.74544E+02
        110       7      1.60000E-02     1.69933E-02      5.17417E+02
        111       7      1.60000E-02     1.69148E-02     -5.76004E+02
        112       7      1.60000E-02     1.69175E-02      5.20928E+02
        113       7      1.60000E-02     1.68404E-02     -5.88931E+02
        114       7      1.60000E-02     1.68428E-02      5.34544E+02
        115       7      1.60000E-02     1.67738E-02     -6.18309E+02
        116       7      1.60000E-02     1.67763E-02      5.66150E+02
        117       7      1.60000E-02     1.67246E-02     -6.83932E+02
        118       7      1.60000E-02     1.67256E-02      6.29703E+02
        119       8      1.60000E-02     1.69748E-02     -5.74209E+02
        120       8      1.60000E-02     1.69774E-02      5.37383E+02

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 d i s c r e t e  e l e m e n t  d a t a  f o r  t i m e   s t e p     1 ( time = 1.0000E+00 )
                matl               length
      element  number     original        current           force

        121       8      1.60000E-02     1.69053E-02     -5.76861E+02
        122       8      1.60000E-02     1.69079E-02      5.42135E+02
        123       8      1.60000E-02     1.68354E-02     -5.90596E+02
        124       8      1.60000E-02     1.68377E-02      5.56335E+02
        125       8      1.60000E-02     1.67717E-02     -6.20598E+02
        126       8      1.60000E-02     1.67742E-02      5.88596E+02
        127       8      1.60000E-02     1.67241E-02     -6.86436E+02
        128       8      1.60000E-02     1.67251E-02      6.52282E+02
        129       9      1.60000E-02     1.66972E-02     -3.94738E+02
        130      10      1.60000E-02     1.66972E-02     -3.96026E+02
        131       9      1.60000E-02     1.67060E-02      3.39428E+02
        132      10      1.60000E-02     1.67060E-02      3.50843E+02
        133       1      1.60000E-02     1.65443E-02      6.09943E+00
        134       2      1.60000E-02     1.65852E-02      1.20506E+01
        135       2      1.60000E-02     1.66277E-02      1.20689E+01
        136       2      1.60000E-02     1.66705E-02      1.13753E+01
        137       2      1.60000E-02     1.67134E-02      1.11332E+01
        138       2      1.60000E-02     1.67558E-02      1.07135E+01
        139       2      1.60000E-02     1.67979E-02      1.06777E+01
        140       2      1.60000E-02     1.68388E-02      1.03992E+01
        141       2      1.60000E-02     1.68789E-02      1.04843E+01
        142       2      1.60000E-02     1.69174E-02      1.03006E+01
        143       2      1.60000E-02     1.69547E-02      1.04676E+01
        144       2      1.60000E-02     1.69899E-02      1.03517E+01
        145       2      1.60000E-02     1.70235E-02      1.05854E+01
        146       2      1.60000E-02     1.70548E-02      1.05006E+01
        147       2      1.60000E-02     1.70843E-02      1.07645E+01
        148       2      1.60000E-02     1.71112E-02      1.07047E+01
        149       2      1.60000E-02     1.71361E-02      1.09901E+01
        150       2      1.60000E-02     1.71584E-02      1.09399E+01
        151       2      1.60000E-02     1.71786E-02      1.12290E+01
        152       2      1.60000E-02     1.71961E-02      1.11641E+01
        153       2      1.60000E-02     1.72115E-02      1.14744E+01
        154       2      1.60000E-02     1.72242E-02      1.13828E+01
        155       2      1.60000E-02     1.72349E-02      1.16646E+01
        156       2      1.60000E-02     1.72429E-02      1.15687E+01
        157       2      1.60000E-02     1.72489E-02      1.18181E+01
        158       2      1.60000E-02     1.72523E-02      1.17178E+01
        159       2      1.60000E-02     1.72539E-02      1.19545E+01
        160       2      1.60000E-02     1.72529E-02      1.18046E+01

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 d i s c r e t e  e l e m e n t  d a t a  f o r  t i m e   s t e p     1 ( time = 1.0000E+00 )
                matl               length
      element  number     original        current           force

        161       2      1.60000E-02     1.72501E-02      1.20261E+01
        162       2      1.60000E-02     1.72449E-02      1.18806E+01
        163       2      1.60000E-02     1.72380E-02      1.20765E+01
        164       2      1.60000E-02     1.72288E-02      1.18853E+01
        165       2      1.60000E-02     1.72180E-02      1.20966E+01
        166       2      1.60000E-02     1.72050E-02      1.18929E+01
        167       2      1.60000E-02     1.71906E-02      1.20589E+01
        168       2      1.60000E-02     1.71741E-02      1.19053E+01
        169       2      1.60000E-02     1.71564E-02      1.20565E+01
        170       2      1.60000E-02     1.71368E-02      1.18499E+01
        171       2      1.60000E-02     1.71162E-02      1.20909E+01
        172       2      1.60000E-02     1.70934E-02      1.19291E+01
        173       3      1.60000E-02     1.70705E-02      2.34228E+01
        174       4      1.60000E-02     1.71719E-02      5.85067E+00
        175       5      1.60000E-02     1.71708E-02      1.14603E+01
        176       5      1.60000E-02     1.71682E-02      1.16870E+01
        177       5      1.60000E-02     1.71635E-02      1.14953E+01
        178       5      1.60000E-02     1.71571E-02      1.16630E+01
        179       5      1.60000E-02     1.71488E-02      1.14561E+01
        180       5      1.60000E-02     1.71390E-02      1.16321E+01
        181       5      1.60000E-02     1.71272E-02      1.14702E+01
        182       5      1.60000E-02     1.71140E-02      1.16424E+01
        183       5      1.60000E-02     1.70991E-02      1.14312E+01
        184       5      1.60000E-02     1.70829E-02      1.16797E+01
        185       5      1.60000E-02     1.70646E-02      1.15216E+01
        186       6      1.60000E-02     1.70461E-02      2.35139E+01
        187       7      1.60000E-02     1.69987E-02      3.51539E+01
        188       7      1.60000E-02     1.69233E-02      3.66004E+01
        189       7      1.60000E-02     1.68492E-02      3.91095E+01
        190       7      1.60000E-02     1.67834E-02      4.37228E+01
        191       7      1.60000E-02     1.67342E-02      5.02116E+01
        192       8      1.60000E-02     1.69826E-02      3.57955E+01
        193       8      1.60000E-02     1.69135E-02      3.73067E+01
        194       8      1.60000E-02     1.68440E-02      3.99055E+01
        195       8      1.60000E-02     1.67812E-02      4.45720E+01
        196       8      1.60000E-02     1.67337E-02      5.11105E+01
        197       9      1.60000E-02     1.67157E-02      2.67662E+01
        198      10      1.60000E-02     1.67157E-02      2.72198E+01
