
 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 d i s c r e t e  e l e m e n t  d a t a  f o r  t i m e   s t e p     1 ( time = 1.0000E+00 )
                matl               length
      element  number     original        current           force
         97       5      1.60000E-02     1.70193E-02     -1.81754E+02
         98       5      1.60000E-02     1.70203E-02      1.73786E+02
         99       5      1.60000E-02     1.70050E-02     -1.86638E+02
        100       5      1.60000E-02     1.70101E-02      1.70228E+02
        101       5      1.60000E-02     1.69941E-02     -1.81232E+02
        102       5      1.60000E-02     1.69951E-02      1.72812E+02
        103       5      1.60000E-02     1.69770E-02     -1.86224E+02
        104       5      1.60000E-02     1.69824E-02      1.68685E+02
        105       5      1.60000E-02     1.69642E-02     -1.77519E+02
        106       5      1.60000E-02     1.69644E-02      1.73272E+02
        107       6      1.60000E-02     1.69447E-02     -3.69150E+02
        108       6      1.60000E-02     1.69486E-02      3.41113E+02
        109       7      1.60000E-02     1.69034E-02     -5.48790E+02
        110       7      1.60000E-02     1.69059E-02      4.93404E+02
        111       7      1.60000E-02     1.68352E-02     -5.49649E+02
        112       7      1.60000E-02     1.68378E-02      4.96487E+02
        113       7      1.60000E-02     1.67681E-02     -5.61618E+02
        114       7      1.60000E-02     1.67704E-02      5.08964E+02
        115       7      1.60000E-02     1.67078E-02     -5.89761E+02
        116       7      1.60000E-02     1.67102E-02      5.39368E+02
        117       7      1.60000E-02     1.66630E-02     -6.53577E+02
        118       7      1.60000E-02     1.66639E-02      6.01081E+02
        119       8      1.60000E-02     1.68888E-02     -5.47847E+02
        120       8      1.60000E-02     1.68913E-02      5.12738E+02

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 d i s c r e t e  e l e m e n t  d a t a  f o r  t i m e   s t e p     1 ( time = 1.0000E+00 )
                matl               length
      element  number     original        current           force

        121       8      1.60000E-02     1.68265E-02     -5.49874E+02
        122       8      1.60000E-02     1.68290E-02      5.16961E+02
        123       8      1.60000E-02     1.67635E-02     -5.62691E+02
        124       8      1.60000E-02     1.67657E-02      5.30054E+02
        125       8      1.60000E-02     1.67058E-02     -5.91517E+02
        126       8      1.60000E-02     1.67083E-02      5.61086E+02
        127       8      1.60000E-02     1.66626E-02     -6.55637E+02
        128       8      1.60000E-02     1.66634E-02      6.22925E+02
        129       9      1.60000E-02     1.66377E-02     -3.78609E+02
        130      10      1.60000E-02     1.66377E-02     -3.79715E+02
        131       9      1.60000E-02     1.66460E-02      3.24717E+02
        132      10      1.60000E-02     1.66460E-02      3.35810E+02
        133       1      1.60000E-02     1.64993E-02      5.81834E+00
        134       2      1.60000E-02     1.65369E-02      1.15060E+01
        135       2      1.60000E-02     1.65759E-02      1.15008E+01
        136       2      1.60000E-02     1.66153E-02      1.07967E+01
        137       2      1.60000E-02     1.66548E-02      1.05557E+01
        138       2      1.60000E-02     1.66937E-02      1.01238E+01
        139       2      1.60000E-02     1.67322E-02      1.00783E+01
        140       2      1.60000E-02     1.67697E-02      9.80755E+00
        141       2      1.60000E-02     1.68063E-02      9.89088E+00
        142       2      1.60000E-02     1.68414E-02      9.70489E+00
        143       2      1.60000E-02     1.68753E-02      9.87071E+00
        144       2      1.60000E-02     1.69073E-02      9.76602E+00
        145       2      1.60000E-02     1.69377E-02      9.99559E+00
        146       2      1.60000E-02     1.69659E-02      9.91606E+00
        147       2      1.60000E-02     1.69925E-02      1.01806E+01
        148       2      1.60000E-02     1.70166E-02      1.01154E+01
        149       2      1.60000E-02     1.70389E-02      1.04104E+01
        150       2      1.60000E-02     1.70587E-02      1.03644E+01
        151       2      1.60000E-02     1.70767E-02      1.06459E+01
        152       2      1.60000E-02     1.70921E-02      1.05860E+01
        153       2      1.60000E-02     1.71057E-02      1.08813E+01
        154       2      1.60000E-02     1.71168E-02      1.08077E+01
        155       2      1.60000E-02     1.71261E-02      1.10862E+01
        156       2      1.60000E-02     1.71329E-02      1.09880E+01
        157       2      1.60000E-02     1.71381E-02      1.12518E+01
        158       2      1.60000E-02     1.71408E-02      1.11218E+01
        159       2      1.60000E-02     1.71419E-02      1.13750E+01
        160       2      1.60000E-02     1.71407E-02      1.12440E+01

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 d i s c r e t e  e l e m e n t  d a t a  f o r  t i m e   s t e p     1 ( time = 1.0000E+00 )
                matl               length
      element  number     original        current           force

        161       2      1.60000E-02     1.71379E-02      1.14331E+01
        162       2      1.60000E-02     1.71330E-02      1.12993E+01
        163       2      1.60000E-02     1.71266E-02      1.15002E+01
        164       2      1.60000E-02     1.71181E-02      1.13036E+01
        165       2      1.60000E-02     1.71083E-02      1.15165E+01
        166       2      1.60000E-02     1.70965E-02      1.13288E+01
        167       2      1.60000E-02     1.70834E-02      1.14733E+01
        168       2      1.60000E-02     1.70685E-02      1.12959E+01
        169       2      1.60000E-02     1.70525E-02      1.14821E+01
        170       2      1.60000E-02     1.70349E-02      1.12764E+01
        171       2      1.60000E-02     1.70164E-02      1.14715E+01
        172       2      1.60000E-02     1.69959E-02      1.13422E+01
        173       3      1.60000E-02     1.69754E-02      2.22580E+01
        174       4      1.60000E-02     1.70649E-02      5.55318E+00
        175       5      1.60000E-02     1.70640E-02      1.09137E+01
        176       5      1.60000E-02     1.70616E-02      1.11262E+01
        177       5      1.60000E-02     1.70574E-02      1.09049E+01
        178       5      1.60000E-02     1.70518E-02      1.11033E+01
        179       5      1.60000E-02     1.70444E-02      1.09087E+01
        180       5      1.60000E-02     1.70357E-02      1.10504E+01
        181       5      1.60000E-02     1.70252E-02      1.08756E+01
        182       5      1.60000E-02     1.70134E-02      1.10851E+01
        183       5      1.60000E-02     1.70002E-02      1.08713E+01
        184       5      1.60000E-02     1.69857E-02      1.10893E+01
        185       5      1.60000E-02     1.69694E-02      1.09343E+01
        186       6      1.60000E-02     1.69528E-02      2.23225E+01
        187       7      1.60000E-02     1.69109E-02      3.33773E+01
        188       7      1.60000E-02     1.68430E-02      3.46739E+01
        189       7      1.60000E-02     1.67762E-02      3.70481E+01
        190       7      1.60000E-02     1.67166E-02      4.14902E+01
        191       7      1.60000E-02     1.66718E-02      4.77981E+01
        192       8      1.60000E-02     1.68961E-02      3.39529E+01
        193       8      1.60000E-02     1.68341E-02      3.53239E+01
        194       8      1.60000E-02     1.67714E-02      3.77647E+01
        195       8      1.60000E-02     1.67146E-02      4.22593E+01
        196       8      1.60000E-02     1.66713E-02      4.86318E+01
        197       9      1.60000E-02     1.66549E-02      2.54991E+01
        198      10      1.60000E-02     1.66549E-02      2.59077E+01
